,Capital or Revenue,Directorate,Transaction Number,Date,Service Area,Expenses Type,Amount,Supplier Name
4484,Revenue,Community Wellbeing & Social Care,5105637203,20.11.2013,40 Venner Avenue,Agency staff,"2,014.59",NEWCROSS HEALTHCARE SOLUTIONS LTD
4485,Revenue,Community Wellbeing & Social Care,5105638487,27.11.2013,40 Venner Avenue,Agency staff,"2,202.94",NEWCROSS HEALTHCARE SOLUTIONS LTD
4486,Revenue,Community Wellbeing & Social Care,5105632581,01.11.2013,Seagulls,Agency staff,146.79,NEWCROSS HEALTHCARE SOLUTIONS LTD
4487,Revenue,Community Wellbeing & Social Care,5105632583,06.11.2013,Seagulls,Agency staff,267.59,NEWCROSS HEALTHCARE SOLUTIONS LTD
4488,Revenue,Community Wellbeing & Social Care,5105636911,15.11.2013,Seagulls,Agency staff,214.04,NEWCROSS HEALTHCARE SOLUTIONS LTD
4489,Revenue,Community Wellbeing & Social Care,5105638990,29.11.2013,The Laurels,Agency staff,"1,798.21",NEWCROSS HEALTHCARE SOLUTIONS LTD
4490,Revenue,Community Wellbeing & Social Care,5105637176,20.11.2013,The Laurels,Agency staff,"2,128.38",NEWCROSS HEALTHCARE SOLUTIONS LTD
4491,Revenue,Community Wellbeing & Social Care,5105637429,20.11.2013,The Laurels,Agency staff,"2,111.93",NEWCROSS HEALTHCARE SOLUTIONS LTD
4492,Revenue,Community Wellbeing & Social Care,5105639087,29.11.2013,The Laurels,Agency staff,"2,014.18",NEWCROSS HEALTHCARE SOLUTIONS LTD
4493,Revenue,Community Wellbeing & Social Care,5105633347,27.11.2013,The Laurels,Agency staff,622.51,NEWCROSS HEALTHCARE SOLUTIONS LTD
4494,Revenue,Community Wellbeing & Social Care,5105635228,06.11.2013,The Laurels,Agency staff,350.73,NEWCROSS HEALTHCARE SOLUTIONS LTD
4495,Revenue,Community Wellbeing & Social Care,5105635240,06.11.2013,The Laurels,Agency staff,646.34,NEWCROSS HEALTHCARE SOLUTIONS LTD
4496,Revenue,Community Wellbeing & Social Care,5105638416,27.11.2013,Overbrook,Agency staff,395.11,NEWCROSS HEALTHCARE SOLUTIONS LTD
4497,Revenue,Community Wellbeing & Social Care,5105637556,22.11.2013,Overbrook,Agency staff,689.29,NEWCROSS HEALTHCARE SOLUTIONS LTD
4498,Revenue,Community Wellbeing & Social Care,5105637199,20.11.2013,Overbrook,Agency staff,285.36,NEWCROSS HEALTHCARE SOLUTIONS LTD
4499,Revenue,Community Wellbeing & Social Care,5105635657,08.11.2013,Overbrook,Agency staff,261.93,NEWCROSS HEALTHCARE SOLUTIONS LTD
4500,Revenue,Community Wellbeing & Social Care,5105636908,15.11.2013,Overbrook,Agency staff,85.61,NEWCROSS HEALTHCARE SOLUTIONS LTD
4501,Revenue,Community Wellbeing & Social Care,5105629602,01.11.2013,Overbrook,Agency staff,426.32,NEWCROSS HEALTHCARE SOLUTIONS LTD
4502,Revenue,Community Wellbeing & Social Care,5105632371,06.11.2013,Overbrook,Agency staff,145.01,NEWCROSS HEALTHCARE SOLUTIONS LTD
4503,Revenue,Community Wellbeing & Social Care,5105634002,06.11.2013,Overbrook,Agency staff,285.49,NEWCROSS HEALTHCARE SOLUTIONS LTD
4504,Revenue,Economy & Environment,5105630804,06.11.2013,IOW Festival of Walking,Advertising & Publicity,140.00,NEWPORT (IW) FOOTBALL CLUB LTD
4505,Capital,Community Wellbeing & Social Care,5105638287,27.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4506,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4507,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4508,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4509,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4510,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4511,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4512,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4513,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4514,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4515,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4516,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4517,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4518,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4519,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4520,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4521,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4522,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4523,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4524,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Mental Health Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4525,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",NEWPORT RESIDENTIAL CARE LTD
4526,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",NEWPORT RESIDENTIAL CARE LTD
4527,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,622.60",NEWPORT RESIDENTIAL CARE LTD
4528,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",NEWPORT RESIDENTIAL CARE LTD
4529,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",NEWPORT RESIDENTIAL CARE LTD
4530,Revenue,Community Wellbeing & Social Care,5105634773,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",NEWPORT RESIDENTIAL CARE LTD
4531,Revenue,Community Wellbeing & Social Care,5105637177,20.11.2013,Integrated Community Equipment Service,General Materials,330.00,NEWPORT STEEL & FABRICATION
4532,Revenue,Community Wellbeing & Social Care,5105637179,20.11.2013,Integrated Community Equipment Service,General Materials,241.00,NEWPORT STEEL & FABRICATION
4533,Revenue,Community Wellbeing & Social Care,5105637179,20.11.2013,Integrated Community Equipment Service,General Materials,259.00,NEWPORT STEEL & FABRICATION
4534,Revenue,Community Wellbeing & Social Care,5105637179,20.11.2013,Integrated Community Equipment Service,General Materials,299.00,NEWPORT STEEL & FABRICATION
4535,Revenue,Community Wellbeing & Social Care,5105637179,20.11.2013,Integrated Community Equipment Service,General Materials,442.00,NEWPORT STEEL & FABRICATION
4536,Revenue,Community Wellbeing & Social Care,5105637179,20.11.2013,Integrated Community Equipment Service,General Materials,39.00,NEWPORT STEEL & FABRICATION
4537,Revenue,Community Wellbeing & Social Care,5105637179,20.11.2013,Integrated Community Equipment Service,General Materials,330.00,NEWPORT STEEL & FABRICATION
4538,Revenue,Economy & Environment,5105637178,20.11.2013,Fire Technical Support,Vehicle Maintenance Costs,35.00,NEWPORT STEEL & FABRICATION
4539,Revenue,Community Wellbeing & Social Care,5105634268,06.11.2013,Learning Disability Residential Care,Charges from Independent Providers,"2,545.76",NEWTON LODGE RESIDENTIAL NURSING HOME
4540,Revenue,Community Wellbeing & Social Care,5105634268,06.11.2013,Learning Disability Residential Care,Charges from Independent Providers,"1,757.00",NEWTON LODGE RESIDENTIAL NURSING HOME
4541,Revenue,Community Wellbeing & Social Care,5105634268,06.11.2013,Learning Disability Residential Care,Charges from Independent Providers,"5,356.12",NEWTON LODGE RESIDENTIAL NURSING HOME
4542,Revenue,Community Wellbeing & Social Care,5105637132,20.11.2013,Section 106 Arts,Grants to External Bodies,"1,500.00",REDACTED PERSONAL DATA
4543,Revenue,Community Wellbeing & Social Care,5105636088,13.11.2013,Arts Projects,Professional Services,800.00,REDACTED PERSONAL DATA
4544,Revenue,Economy & Environment,5105639160,29.11.2013,Rights of Way Operations,Payment to Private Contractors,200.00,NIGEL EARLEY SERVICES
4545,Revenue,Economy & Environment,5105639164,29.11.2013,Rights of Way Operations,Payment to Private Contractors,150.00,NIGEL EARLEY SERVICES
4546,Revenue,Economy & Environment,5105639161,29.11.2013,Rights of Way Operations,Payment to Private Contractors,350.00,NIGEL EARLEY SERVICES
4547,Revenue,Economy & Environment,5105636331,13.11.2013,ROW Capital Programme,Capital Contractor Payments,450.00,NIGEL EARLEY SERVICES
4548,Revenue,Childrens Services,5105637558,22.11.2013,Children in Care Team,Agency staff,"1,697.56",NONSTOP RECRUITMENT LTD
4549,Revenue,Childrens Services,5105639060,29.11.2013,Children in Care Team,Agency staff,"1,697.56",NONSTOP RECRUITMENT LTD
4550,Revenue,Childrens Services,5105637062,20.11.2013,Contact & Assessment Team,Agency staff,"1,697.56",NONSTOP RECRUITMENT LTD
4551,Revenue,Childrens Services,5105634161,06.11.2013,Contact & Assessment Team,Agency staff,"1,697.56",NONSTOP RECRUITMENT LTD
4552,Revenue,Childrens Services,5105637580,22.11.2013,Children In Need 1,Agency staff,722.00,NONSTOP RECRUITMENT LTD
4553,Revenue,Childrens Services,5105637564,22.11.2013,Children In Need 1,Agency staff,741.00,NONSTOP RECRUITMENT LTD
4554,Revenue,Childrens Services,5105637565,22.11.2013,Children In Need 1,Agency staff,703.00,NONSTOP RECRUITMENT LTD
4555,Revenue,Childrens Services,5105637566,22.11.2013,Children In Need 1,Agency staff,893.00,NONSTOP RECRUITMENT LTD
4556,Revenue,Childrens Services,5105637585,22.11.2013,Children In Need 1,Agency staff,56.50,NONSTOP RECRUITMENT LTD
4557,Revenue,Childrens Services,5105637574,22.11.2013,Children In Need 1,Agency staff,112.00,NONSTOP RECRUITMENT LTD
4558,Revenue,Childrens Services,5105637579,22.11.2013,Children In Need 1,Agency staff,26.10,NONSTOP RECRUITMENT LTD
4559,Revenue,Childrens Services,5105637586,29.11.2013,Adoption Team,Agency staff,"1,530.69",NONSTOP RECRUITMENT LTD
4560,Revenue,Childrens Services,5105637570,29.11.2013,Adoption Team,Agency staff,"1,241.10",NONSTOP RECRUITMENT LTD
4561,Revenue,Childrens Services,5105637576,29.11.2013,Adoption Team,Agency staff,"1,530.69",NONSTOP RECRUITMENT LTD
4562,Revenue,Childrens Services,5105637586,29.11.2013,Adoption Team,Agency staff,43.65,NONSTOP RECRUITMENT LTD
4563,Revenue,Childrens Services,5105637584,27.11.2013,Adoption Team,Agency staff,779.00,NONSTOP RECRUITMENT LTD
4564,Revenue,Childrens Services,5105637582,29.11.2013,Adoption Team,Agency staff,4.50,NONSTOP RECRUITMENT LTD
4565,Revenue,Childrens Services,5105637583,29.11.2013,Adoption Team,Agency staff,48.60,NONSTOP RECRUITMENT LTD
4566,Revenue,Resources,5105636635,15.11.2013,ICT Contracts,Computer Maintenance,"6,000.00",NORTHGATE  INFORMATION SOLUTIONS UK
4567,Revenue,Resources,5105636626,13.11.2013,ICT Contracts,Computer Maintenance,"2,500.00",NORTHGATE  INFORMATION SOLUTIONS UK
4568,Revenue,Resources,5105636980,15.11.2013,ICT Contracts,Computer Maintenance,"19,990.00",NORTHGATE  INFORMATION SOLUTIONS UK
4569,Revenue,Resources,5105637882,22.11.2013,Council Tax,Training,250.00,NORTHGATE  INFORMATION SOLUTIONS UK
4570,Revenue,Resources,5105637882,22.11.2013,Council Tax Benefit,Training,250.00,NORTHGATE  INFORMATION SOLUTIONS UK
4571,Revenue,Community Wellbeing & Social Care,5105636661,15.11.2013,Blue Badge Scheme,Printing Costs,"1,081.00",NORTHGATE INFORMATION SOLUTIONS UK
4572,Revenue,Economy & Environment,5105637424,20.11.2013,Fire Technical Support,Vehicle Fuel Costs,65.62,NORTHWOOD GARAGE
4573,Revenue,Resources,5105638082,22.11.2013,Staff Benefits,Payment to Private Contractors,60.00,NORTHWOOD PLAYGROUP
4574,Revenue,Resources,5105638083,22.11.2013,Staff Benefits,Payment to Private Contractors,123.00,NORTHWOOD PLAYGROUP
4575,Revenue,Community Wellbeing & Social Care,5105638469,27.11.2013,Integrated Community Equipment Service,Operational Equipment,69.99,NOTTINGHAM REHAB LTD
4576,Revenue,Community Wellbeing & Social Care,5105635635,08.11.2013,Integrated Community Equipment Service,Operational Equipment,12.50,NOTTINGHAM REHAB LTD
4577,Revenue,Community Wellbeing & Social Care,5105635635,08.11.2013,Integrated Community Equipment Service,Operational Equipment,255.00,NOTTINGHAM REHAB LTD
4578,Revenue,Childrens Services,5105636604,13.11.2013,Independ. & Non-Maint. Special Schls & Independ. Specialist Provision,Charges from Independent Providers,"40,735.24",NOVALIS TRUST
4579,Revenue,Childrens Services,5105636605,13.11.2013,Independ. & Non-Maint. Special Schls & Independ. Specialist Provision,Charges from Independent Providers,"40,735.24",NOVALIS TRUST
4580,Revenue,Community Wellbeing & Social Care,5105636994,15.11.2013,Homelessness,Medical Fees and Staff Welfare,175.00,NOWMEDICAL
4581,Revenue,Community Wellbeing & Social Care,5105635650,08.11.2013,Workforce Development -  Westridge Centre,Consumable Cleaning Materials,42.42,N-VIRO
4582,Revenue,Community Wellbeing & Social Care,5105635650,08.11.2013,Workforce Development -  Westridge Centre,Consumable Cleaning Materials,67.08,N-VIRO
4583,Revenue,Economy & Environment,5105635118,22.11.2013,Leisure Management & Admin,Professional Services,44.24,N-VIRO
4584,Revenue,Community Wellbeing & Social Care,5105637404,20.11.2013,Integrated Community Equipment Service,Payment to Private Contractors,198.10,N-VIRO
4585,Revenue,Economy & Environment,5105637380,27.11.2013,Planning Business Support,Cleaning Contracts,105.32,N-VIRO
4586,Revenue,Childrens Services,5105637462,20.11.2013,Clatterford Pupil Referral Unit (PRU),Cleaning Contracts,345.60,N-VIRO
4587,Revenue,Resources,5105637465,20.11.2013,Administrative Buildings,Cleaning Contracts,"20,101.57",N-VIRO
4588,Revenue,Economy & Environment,5105636299,13.11.2013,Regulatory Management & Admin Support,Consumable Cleaning Materials,33.54,N-VIRO
4589,Revenue,Economy & Environment,5105636299,13.11.2013,Regulatory Management & Admin Support,Consumable Cleaning Materials,43.40,N-VIRO
4590,Revenue,Resources,5105635084,04.11.2013,Administrative Buildings,Property Services - Day to day maintenance,52.50,N-VIRO
4591,Revenue,Community Wellbeing & Social Care,5105634272,06.11.2013,Learning Disability Residential Care,Charges from Independent Providers,"5,855.92",OAKDOWN HOUSE LTD
4592,Revenue,Community Wellbeing & Social Care,5105634899,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",OAKRAY CARE LTD
4593,Revenue,Community Wellbeing & Social Care,5105634899,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",OAKRAY CARE LTD
4594,Revenue,Community Wellbeing & Social Care,5105634899,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",OAKRAY CARE LTD
4595,Revenue,Community Wellbeing & Social Care,5105634899,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",OAKRAY CARE LTD
4596,Revenue,Community Wellbeing & Social Care,5105634899,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",OAKRAY CARE LTD
4597,Revenue,Community Wellbeing & Social Care,5105634899,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",OAKRAY CARE LTD
4598,Revenue,Community Wellbeing & Social Care,5105634899,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",OAKRAY CARE LTD
4599,Revenue,Community Wellbeing & Social Care,5105634899,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",OAKRAY CARE LTD
4600,Revenue,Community Wellbeing & Social Care,5105634899,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",OAKRAY CARE LTD
4601,Revenue,Community Wellbeing & Social Care,5105634899,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"2,397.92",OAKRAY CARE LTD
4602,Revenue,Community Wellbeing & Social Care,5105634899,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,998.08",OAKRAY CARE LTD
4603,Revenue,Community Wellbeing & Social Care,5105634899,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,818.60",OAKRAY CARE LTD
4604,Revenue,Community Wellbeing & Social Care,5105634899,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,699.88",OAKRAY CARE LTD
4605,Revenue,Community Wellbeing & Social Care,5105634899,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",OAKRAY CARE LTD
4606,Revenue,Community Wellbeing & Social Care,5105635636,08.11.2013,Drug Misuse - Adults,Payment to Private Contractors,"2,660.00",OBELISK TRAINING
4607,Revenue,Economy & Environment,5105638559,27.11.2013,The Heights,Payment to Private Contractors,50.00,OCS GROUP UK LTD T/A FOUNTAINS
4608,Revenue,Resources,5105635738,08.11.2013,Legal Services Section,Sundry Office Expenses,59.97,OD CONSULTANCY LTD
4609,Revenue,Economy & Environment,5105635756,08.11.2013,Beach Safety & Inspection / Beach Awards,Payment to Private Contractors,"8,375.00",OFFSHORE MARINE SERVICES LTD
4610,Revenue,Community Wellbeing & Social Care,5105634254,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",OLD CHARLTON HOUSE
4611,Revenue,Community Wellbeing & Social Care,5105634254,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",OLD CHARLTON HOUSE
4612,Revenue,Community Wellbeing & Social Care,5105634254,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",OLD CHARLTON HOUSE
4613,Revenue,Community Wellbeing & Social Care,5105634254,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,998.08",OLD CHARLTON HOUSE
4614,Revenue,Community Wellbeing & Social Care,5105634254,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",OLD CHARLTON HOUSE
4615,Revenue,Community Wellbeing & Social Care,5105634254,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",OLD CHARLTON HOUSE
4616,Revenue,Community Wellbeing & Social Care,5105634254,06.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",OLD CHARLTON HOUSE
4617,Revenue,Community Wellbeing & Social Care,5105634254,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",OLD CHARLTON HOUSE
4618,Revenue,Community Wellbeing & Social Care,5105634254,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"2,635.08",OLD CHARLTON HOUSE
4619,Revenue,Community Wellbeing & Social Care,5105634254,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",OLD CHARLTON HOUSE
4620,Revenue,Community Wellbeing & Social Care,5105634254,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,998.08",OLD CHARLTON HOUSE
4621,Revenue,Community Wellbeing & Social Care,5105634254,06.11.2013,REDACTED PERSONAL DATA,Order Settlement,"1,998.08",OLD CHARLTON HOUSE
4622,Revenue,Childrens Services,5105635080,04.11.2013,Thompson House Tuition Centre (PRU),Professional Services,-450.00,OPEN COLLEGE NETWORK
4623,Revenue,Childrens Services,5105632692,06.11.2013,Clatterford Pupil Referral Unit (PRU),General Educational Materials,517.00,OPTIMUS PROFESSIONAL PUBLISHING LTD
4624,Revenue,Economy & Environment,5105637096,20.11.2013,Deputy Chief Fire Office,Mobile Telecoms,4.20,ORANGE PERSONAL COMMUNICATION
4625,Revenue,Economy & Environment,5105637096,20.11.2013,Deputy Chief Fire Office,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4626,Revenue,Economy & Environment,5105637096,20.11.2013,Deputy Chief Fire Office,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4627,Revenue,Economy & Environment,5105637096,20.11.2013,Deputy Chief Fire Office,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4628,Revenue,Economy & Environment,5105637096,20.11.2013,Deputy Chief Fire Office,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4629,Revenue,Economy & Environment,5105637457,20.11.2013,Highways PFI Project,Mobile Telecoms,44.00,ORANGE PERSONAL COMMUNICATION
4630,Revenue,Community Wellbeing & Social Care,5105634083,01.11.2013,Workforce Development Schools,Mobile Telecoms,119.00,ORANGE PERSONAL COMMUNICATION
4631,Revenue,Childrens Services,5105637096,20.11.2013,Children's Services Strategic Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4632,Revenue,Childrens Services,5105637096,20.11.2013,Admin - Childrens Social Care,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4633,Revenue,Childrens Services,5105625241,20.11.2013,Admin - Childrens Social Care,Mobile Telecoms,35.00,ORANGE PERSONAL COMMUNICATION
4634,Revenue,Childrens Services,5105635036,04.11.2013,Admin - Childrens Social Care,Mobile Telecoms,-35.00,ORANGE PERSONAL COMMUNICATION
4635,Revenue,Childrens Services,5105637096,20.11.2013,Admin - Childrens Social Care,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4636,Revenue,Childrens Services,5105637096,20.11.2013,Parent Partnership,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4637,Revenue,Childrens Services,5105637096,20.11.2013,Parent Partnership,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4638,Revenue,Childrens Services,5105637096,20.11.2013,Youth & Community Service,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4639,Revenue,Childrens Services,5105637096,20.11.2013,Youth & Community Service,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4640,Revenue,Childrens Services,5105637096,20.11.2013,Youth & Community Service,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4641,Revenue,Childrens Services,5105637096,20.11.2013,Youth & Community Service,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4642,Revenue,Childrens Services,5105637096,20.11.2013,Youth & Community Service,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4643,Revenue,Childrens Services,5105637096,20.11.2013,Youth & Community Service,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4644,Revenue,Childrens Services,5105637096,20.11.2013,Looked After Children Units 5-7,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4645,Revenue,Childrens Services,5105637096,20.11.2013,Children in Care Team,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4646,Revenue,Economy & Environment,5105637096,20.11.2013,Leisure Management & Admin,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4647,Revenue,Economy & Environment,5105637096,20.11.2013,Leisure Management & Admin,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4648,Revenue,Economy & Environment,5105637096,20.11.2013,Leisure Management & Admin,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4649,Revenue,Economy & Environment,5105637096,20.11.2013,Leisure Management & Admin,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4650,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Westminster House,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4651,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Self Directed Support Team,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4652,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Self Directed Support Team,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4653,Revenue,Economy & Environment,5105637096,20.11.2013,Strategic Assets Team,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4654,Revenue,Economy & Environment,5105637096,20.11.2013,Events Team,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4655,Revenue,Economy & Environment,5105637096,20.11.2013,Events Team,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4656,Revenue,Economy & Environment,5105637096,20.11.2013,Events Team,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4657,Revenue,Economy & Environment,5105637096,20.11.2013,Events Team,Mobile Telecoms,8.01,ORANGE PERSONAL COMMUNICATION
4658,Revenue,Economy & Environment,5105637096,20.11.2013,Strategic Assets Team,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4659,Revenue,Community Wellbeing & Social Care,5105637096,20.11.2013,Integrated Community Equipment Service,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4660,Revenue,Economy & Environment,5105637096,20.11.2013,Emergency Management,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4661,Revenue,Economy & Environment,5105637096,20.11.2013,Emergency Management,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4662,Revenue,Economy & Environment,5105637096,20.11.2013,Emergency Management,Mobile Telecoms,3.00,ORANGE PERSONAL COMMUNICATION
4663,Revenue,Economy & Environment,5105637096,20.11.2013,Emergency Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4664,Revenue,Economy & Environment,5105637096,20.11.2013,Emergency Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4665,Revenue,Economy & Environment,5105637096,20.11.2013,Emergency Management,Mobile Telecoms,8.00,ORANGE PERSONAL COMMUNICATION
4666,Revenue,Economy & Environment,5105637096,20.11.2013,Emergency Management,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4667,Revenue,Economy & Environment,5105637096,20.11.2013,Emergency Management,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
4668,Revenue,Economy & Environment,5105637096,20.11.2013,Coastal Management,Mobile Telecoms,2.00,ORANGE PERSONAL COMMUNICATION
